step_no,type,mode,label,c_rate,current_mA,voltage_v,end_voltage_v,end_time_s,cv_cutoff_c_rate,dod_percent,end_capacity_fraction,loop_target,loop_count,cap_ref_step
1,rest,,,,,,,10800.0,,,,,,
2,loop,,,,,,,,,,,1,1,
3,cycle,,HPPC cycle marker,,,,,,,,,,,
4,charge,CCCV,,0.1,2.4000000000000004,4.2,,57600.0,0.05,,,,,
5,rest,,,,,,,1800.0,,,,,,
6,discharge,CC,,0.1,2.4000000000000004,2.0,2.5,57600.0,,,,,,
7,rest,,,,,,,1800.0,,,,,,
8,loop,,,,,,,,,,,1,2,
9,cycle,,HPPC cycle marker,,,,,,,,,,,
10,charge,CCCV,,0.3333333333333333,8.0,4.2,,57600.0,0.05,,,,,
11,rest,,,,,,,1800.0,,,,,,
12,discharge,CC,,0.3333333333333333,8.0,2.0,2.5,57600.0,,,,,,
13,rest,,,,,,,1800.0,,,,,,
14,loop,,,,,,,,,,,1,2,
15,cycle,,HPPC cycle marker,,,,,,,,,,,
16,charge,CCCV,,0.1,2.4000000000000004,4.2,,57600.0,0.05,,,,,
17,rest,,,,,,,3600.0,,,,,,
18,loop,,,,,,,,,,,1,1,
19,cycle,,HPPC cycle marker,,,,,,,,,,,
20,discharge,CC,,1.0,24.0,2.2,2.5,30.0,,,,,,
21,rest,,,,,,,1800.0,,,,,,0
22,charge,CC,,0.1,2.4000000000000004,5.0,4.2,57600.0,,100.0,,,,21
23,rest,,,,,,,1800.0,,,,,,
24,loop,,,,,,,,,,,1,1,
25,cycle,,HPPC cycle marker,,,,,,,,,,,
26,rest,,,,,,,1.0,,,,,,
27,loop,,,,,,,,,,,1,2,
28,cycle,,HPPC cycle marker,,,,,,,,,,,
29,discharge,CC,,0.1,2.4000000000000004,2.2,2.5,57600.0,,10.0,,,,7
30,rest,,,,,,,3600.0,,,,,,
31,loop,,,,,,,,,,,1,1,
32,cycle,,HPPC cycle marker,,,,,,,,,,,
33,discharge,CC,,1.0,24.0,2.2,2.5,30.0,,,,,,
34,rest,,,,,,,1800.0,,,,,,0
35,charge,CC,,0.1,2.4000000000000004,5.0,4.2,57600.0,,100.0,,,,34
36,rest,,,,,,,3600.0,,,,,,
37,loop,,,,,,,,,,,1,1,
38,cycle,,HPPC cycle marker,,,,,,,,,,,
39,charge,CC,,1.0,24.0,5.0,4.2,30.0,,,,,,
40,rest,,,,,,,1800.0,,,,,,
41,discharge,CC,,0.1,2.4000000000000004,2.2,2.5,57600.0,,100.0,,,,40
42,rest,,,,,,,1800.0,,,,,,
43,loop,,,,,,,,,,,1,1,
44,cycle,,HPPC cycle marker,,,,,,,,,,,
45,rest,,,,,,,1.0,,,,,,
46,loop,,,,,,,,,,,8,1,
47,cycle,,HPPC cycle marker,,,,,,,,,,,
48,rest,,,,,,,1.0,,,,,,
49,loop,,,,,,,,,,,1,2,
50,cycle,,HPPC cycle marker,,,,,,,,,,,
51,discharge,CC,,0.1,2.4000000000000004,2.2,2.5,57600.0,,5.0,,,,7
52,rest,,,,,,,3600.0,,,,,,
53,charge,CC,,1.0,24.0,5.0,4.2,30.0,,,,,,
54,rest,,,,,,,1800.0,,,,,,
55,discharge,CC,,0.1,2.4000000000000004,2.2,2.5,57600.0,,100.0,,,,54
56,rest,,,,,,,1800.0,,,,,,
57,loop,,,,,,,,,,,1,1,
58,cycle,,HPPC cycle marker,,,,,,,,,,,
59,discharge,CC,,0.1,2.4000000000000004,2.0,2.5,57600.0,,,,,,
60,rest,,,,,,,1800.0,,,,,,
61,loop,,,,,,,,,,,1,1,
62,end,,schedule end,,,,,,,,,,,
