step_no,type,mode,label,c_rate,current_mA,voltage_v,end_voltage_v,end_time_s,cv_cutoff_c_rate,dod_percent,end_capacity_fraction,loop_target,loop_count,cap_ref_step
1,rest,,QC 1-charge initial rest,,,,,7200.0,,,,,,
2,loop,,,,,,,,,,,1,1,
3,cycle,,,,,,,,,,,,,
4,charge,CCCV,QC 1-charge conditioning charge 1,0.6666666666666666,16.0,4.2,,21600.0,0.1,,,,,
5,rest,,,,,,,1800.0,,,,,,
6,discharge,CC,,0.6666666666666666,16.0,,2.5,21600.0,,,,,,
7,rest,,,,,,,1800.0,,,,,,
8,loop,,,,,,,,,,,3,2,
9,cycle,,,,,,,,,,,,,
10,charge,CCCV,QC 1-charge conditioning charge 2,0.6666666666666666,16.0,4.2,,21600.0,0.1,,,,,
11,rest,,,,,,,1800.0,,,,,,
12,discharge,CC,,0.6666666666666666,16.0,,2.5,21600.0,,,,,,
13,rest,,,,,,,1800.0,,,,,,
14,charge,CCCV,QC 90% capacity reference charge,0.6666666666666666,16.0,4.2,,21600.0,,10.0,,,,7
15,loop,,,,,,,,,,,1,1,
16,cycle,,QC charge-rate marker,,,,,,,,,,,
17,charge,CC,QC 1-charge 4C segment,4.0,96.0,4.2,,534.0,,,,,,
18,charge,CC,QC 1-charge 3C segment,3.0,72.0,4.2,,524.0,,,,,,
19,charge,CC,QC 1-charge 2C segment,2.0,48.0,4.2,,290.0,,,,,,
20,charge,CCCV,QC 1-charge final taper,1.0,24.0,4.2,,10800.0,0.1,,,,,
21,rest,,,,,,,7200.0,,,,,,
22,discharge,CC,,1.0,24.0,,2.5,21600.0,,,,,,
23,rest,,,,,,,1800.0,,,,,,
24,loop,,,,,,,,,,,1,1,
25,end,,schedule end,,,,,,,,,,,
