step_no,type,mode,label,c_rate,current_mA,voltage_v,end_voltage_v,end_time_s,cv_cutoff_c_rate,dod_percent,end_capacity_fraction,loop_target,loop_count,cap_ref_step
1,charge,CCCV,QC conditioning charge,0.6666666666666666,16.0,4.2,,21600.0,0.1,,,,,
2,rest,,,,,,,1800.0,,,,,,
3,discharge,CC,,1.0,24.0,,2.5,21600.0,,,,,,
4,rest,,,,,,,1800.0,,,,,,
5,loop,,,,,,,,,,,2,1,
6,cycle,,QC cycle marker,,,,,,,,,,,
7,charge,CCCV,QC initial voltage segment,1.0,24.0,3.448,,21600.0,0.1,,,,,
8,charge,CCCV,QC 4C segment,4.0,96.0,3.918,,534.0,,,,,,
9,charge,CCCV,QC 3C segment,3.0,72.0,4.008,,524.0,,,,,,
10,charge,CCCV,QC 2C segment,2.0,48.0,4.006,,290.0,,,,,,
11,charge,CCCV,QC 1C timed segment,1.0,24.0,4.2,,751.0,,,,,,
12,charge,CCCV,QC final CV taper,1.0,24.0,4.2,,21600.0,0.1,,,,,
13,rest,,,,,,,1800.0,,,,,,
14,discharge,CC,,1.0,24.0,,2.5,21600.0,,,,,,
15,rest,,,,,,,1800.0,,,,,,
16,loop,,,,,,,,,,,2,1,
17,end,,schedule end,,,,,,,,,,,
