step_no,type,mode,label,c_rate,current_mA,voltage_v,end_voltage_v,end_time_s,cv_cutoff_c_rate,dod_percent,end_capacity_fraction,loop_target,loop_count,cap_ref_step
1,rest,,QPEED conditioning start,,,,,600.0,,,,,,
2,discharge,CC,QPEED conditioning discharge,1.0,24.0,,2.5,21600.0,,,,,,
3,rest,,,,,,,1800.0,,,,,,
4,charge,CCCV,QPEED conditioning full charge,1.0,24.0,4.2,,21600.0,0.3,,,,,
5,rest,,,,,,,1800.0,,,,,,
6,discharge,CC,,1.0,24.0,,2.5,21600.0,,,,,,
7,rest,,,,,,,1800.0,,,,,,
8,charge,CC,QPEED SOC voltage setting,1.0,24.0,4.2,3.318,21600.0,,,,,,
9,rest,,,,,,,1800.0,,,,,,
10,loop,,QPEED conditioning loop,,,,,,,,,1,1,
11,cycle,,QPEED 1.5C marker,,,,,,,,,,,
12,charge,CC,QPEED 1.5C charge,1.5,36.0,4.3,4.2,57600.0,,1.0,,,,7
13,rest,,,,,,,1.0,,,,,,
14,rest,,,,,,,1800.0,,,,,,
15,discharge,CC,,1.0,24.0,,2.5,21600.0,,,,,,
16,rest,,,,,,,1800.0,,,,,,
17,charge,CCCV,,1.0,24.0,4.2,,21600.0,0.3,,,,,
18,rest,,,,,,,1800.0,,,,,,
19,discharge,CC,,1.0,24.0,,2.5,21600.0,,,,,,
20,rest,,,,,,,1800.0,,,,,,
21,charge,CC,,1.0,24.0,4.2,3.318,21600.0,,,,,,
22,rest,,,,,,,1800.0,,,,,,
23,loop,,,,,,,,,,,11,1,
24,cycle,,QPEED 3C marker,,,,,,,,,,,
25,charge,CC,QPEED 3C charge,3.0,72.0,4.3,4.2,57600.0,,1.0,,,,7
26,rest,,,,,,,1.0,,,,,,
27,rest,,,,,,,1800.0,,,,,,
28,discharge,CC,,1.0,24.0,,2.5,21600.0,,,,,,
29,rest,,,,,,,1800.0,,,,,,
30,charge,CCCV,,1.0,24.0,4.2,,21600.0,0.3,,,,,
31,rest,,,,,,,1800.0,,,,,,
32,discharge,CC,,1.0,24.0,,2.5,21600.0,,,,,,
33,rest,,,,,,,1800.0,,,,,,
34,charge,CC,,1.0,24.0,4.2,3.318,21600.0,,,,,,
35,rest,,,,,,,1800.0,,,,,,
36,loop,,,,,,,,,,,24,1,
37,cycle,,QPEED 4.5C marker,,,,,,,,,,,
38,charge,CC,QPEED 4.5C charge,4.5,108.0,4.3,4.2,57600.0,,1.0,,,,7
39,rest,,,,,,,1.0,,,,,,
40,rest,,,,,,,1800.0,,,,,,
41,discharge,CC,,1.0,24.0,,2.5,21600.0,,,,,,
42,rest,,,,,,,1800.0,,,,,,
43,charge,CCCV,,1.0,24.0,4.2,,21600.0,0.3,,,,,
44,rest,,,,,,,1800.0,,,,,,
45,discharge,CC,,1.0,24.0,,2.5,21600.0,,,,,,
46,rest,,,,,,,1800.0,,,,,,
47,charge,CC,,1.0,24.0,4.2,3.318,21600.0,,,,,,
48,rest,,,,,,,1800.0,,,,,,
49,loop,,,,,,,,,,,37,1,
50,cycle,,QPEED 6C marker,,,,,,,,,,,
51,charge,CC,QPEED 6C charge,6.0,144.0,4.3,4.2,57600.0,,1.0,,,,7
52,rest,,,,,,,1.0,,,,,,
53,rest,,,,,,,1800.0,,,,,,
54,discharge,CC,,1.0,24.0,,2.5,21600.0,,,,,,
55,rest,,,,,,,1800.0,,,,,,
