step_no,type,mode,label,c_rate,current_mA,voltage_v,end_voltage_v,end_time_s,cv_cutoff_c_rate,dod_percent,end_capacity_fraction,loop_target,loop_count,cap_ref_step
1,discharge,CC,RPT C/3 to SOC 80%,0.3333333333333333,8.0,,,,,,0.19999999999999996,,,
2,rest,,RPT rest at SOC 80%,,,,,1800.0,,,,,,
3,discharge,CC,RPT DC-IR pulse @ SOC 80%,1.5,36.0,,,10.0,,,,,,
4,rest,,RPT rest after DC-IR @ SOC 80%,,,,,1800.0,,,,,,
5,discharge,CC,RPT C/3 to SOC 50%,0.3333333333333333,8.0,,,,,,0.30000000000000004,,,
6,rest,,RPT rest at SOC 50%,,,,,1800.0,,,,,,
7,discharge,CC,RPT DC-IR pulse @ SOC 50%,1.5,36.0,,,10.0,,,,,,
8,rest,,RPT rest after DC-IR @ SOC 50%,,,,,1800.0,,,,,,
9,discharge,CC,RPT C/3 to SOC 20%,0.3333333333333333,8.0,,,,,,0.3,,,
10,rest,,RPT rest at SOC 20%,,,,,1800.0,,,,,,
11,discharge,CC,RPT DC-IR pulse @ SOC 20%,1.5,36.0,,,10.0,,,,,,
12,rest,,RPT rest after DC-IR @ SOC 20%,,,,,1800.0,,,,,,
13,end,,schedule end,,,,,,,,,,,
