unit,stem,current_label,suggested_category,confidence,method,step_signature,filename_probes,review_status,verified_label
PNE01,07100395_260826_260821_ref.sch,unknown,rpt,0.5556,binary_signature,CCCV-T0003-CC_DCHG-T0003-LOOP-T0007-CCCV-T0003-CC_DCHG-T0003-LOOP-T0007-CCCV-T0003-LOOP-T0007-CC_DCHG-T0003-CC_DCHG-T0003-CC_CHG-T0003-LOOP-T0007-CC_DCHG-T0003-CC_DCHG-T0003-CC_CHG-T0003-LOOP-T0007-CC_DCHG-T0003-CC_DCHG-T0003-LOOP-T0007-CC_DCHG-T0003-LOOP-T0007-CCCV-T0003-CC_DCHG-T0003-LOOP-END,,auto,
PNE01,5mV.sch,unknown,unknown,0.0,none,T0003-LOOP-T0007-T0102-T0003-CC_CHG-T0003-LOOP-END,,auto,
PNE01,07100766_260728_5mV_SJ1300_6040_C.sch,unknown,unknown,0.0,none,T0003-LOOP-T0007-T0102-T0003-CC_CHG-T0003-LOOP-END,,auto,
PNE02,0.5mA.sch,unknown,unknown,0.0,none,CC_DCHG-T0003-CCCV-LOOP-END,,auto,
PNE02,00207966_260626_618╡╡▒▐╝┐_set 0_25╡╡ └·╟╫├°┴ñ ╚─_45╡╡ └·╟╫├°┴ñ.sch,unknown,unknown,0.0,none,T0003-LOOP-T0007-CCCV-T0003-CC_DCHG-T0003-LOOP-T0007-CCCV-T0003-CC_DCHG-T0003-CC_DCHG-T0003-CCCV-T0003-LOOP-T0007-CC_DCHG-T0003-CC_DCHG-T0003-CCCV-T0003-LOOP-T0007-CC_DCHG-T0003-CC_DCHG-T0003-CC_DCHG-T0003-LOOP-END,,auto,
PNE02,00207966_260626_618╡╡▒▐╝┐_set 2_25╡╡ └·╟╫├°┴ñ ╚─_45╡╡ └·╟╫├°┴ñ.sch,unknown,unknown,0.0,none,T0003-LOOP-T0007-CCCV-T0003-CC_DCHG-T0003-LOOP-T0007-CCCV-T0003-CC_DCHG-T0003-CC_DCHG-T0003-CCCV-T0003-LOOP-T0007-CC_DCHG-T0003-CC_DCHG-T0003-CCCV-T0003-LOOP-T0007-CC_DCHG-T0003-CC_DCHG-T0003-CC_DCHG-T0003-LOOP-END,,auto,
PNE02,00207966_260626_618╡╡▒▐╝┐_set 3_25╡╡ └·╟╫├°┴ñ ╚─_45╡╡ └·╟╫├°┴ñ.sch,unknown,unknown,0.0,none,T0003-LOOP-T0007-CCCV-T0003-CC_DCHG-T0003-LOOP-T0007-CCCV-T0003-CC_DCHG-T0003-CC_DCHG-T0003-CCCV-T0003-LOOP-T0007-CC_DCHG-T0003-CC_DCHG-T0003-CCCV-T0003-LOOP-T0007-CC_DCHG-T0003-CC_DCHG-T0003-CC_DCHG-T0003-LOOP-END,,auto,
PNE02,00207966_260626_618╡╡▒▐╝┐_set 4_25╡╡ └·╟╫├°┴ñ ╚─_45╡╡ └·╟╫├°┴ñ.sch,unknown,unknown,0.0,none,T0003-LOOP-T0007-CCCV-T0003-CC_DCHG-T0003-LOOP-T0007-CCCV-T0003-CC_DCHG-T0003-CC_DCHG-T0003-CCCV-T0003-LOOP-T0007-CC_DCHG-T0003-CC_DCHG-T0003-CCCV-T0003-LOOP-T0007-CC_DCHG-T0003-CC_DCHG-T0003-CC_DCHG-T0003-LOOP-END,,auto,
PNE02,00207966_260626_618╡╡▒▐╝┐_set 5_25╡╡ └·╟╫├°┴ñ ╚─_45╡╡ └·╟╫├°┴ñ.sch,unknown,unknown,0.0,none,T0003-LOOP-T0007-CCCV-T0003-CC_DCHG-T0003-LOOP-T0007-CCCV-T0003-CC_DCHG-T0003-CC_DCHG-T0003-CCCV-T0003-LOOP-T0007-CC_DCHG-T0003-CC_DCHG-T0003-CCCV-T0003-LOOP-T0007-CC_DCHG-T0003-CC_DCHG-T0003-CC_DCHG-T0003-LOOP-END,,auto,
PNE02,00209060_241204_HDK_4_Framto_FeNi40_8um_2_3_re.sch,unknown,formation,0.5094,binary_signature,T0003-LOOP-T0007-CCCV-T0003-CC_DCHG-T0003-LOOP-END,,auto,
PNE02,00209060_241204_HDK_5_Framto_FeNi25_3_re.sch,unknown,formation,0.5094,binary_signature,T0003-LOOP-T0007-CCCV-T0003-CC_DCHG-T0003-LOOP-END,,auto,
PNE02,00209060_241204_HDK_6_SKNX_FeNi70_1_re.sch,unknown,formation,0.5094,binary_signature,T0003-LOOP-T0007-CCCV-T0003-CC_DCHG-T0003-LOOP-END,,auto,
PNE02,00214700_230120 [╜┬▒µ] Set02 ╟┴╕« jig300 a WIP.sch,unknown,formation,0.5094,binary_signature,T0003-LOOP-T0007-CCCV-T0003-CC_DCHG-T0003-LOOP-END,wip,auto,
PNE02,00214700_230120 [╜┬▒µ] Set03 ╟┴╕« jig200 a WIP.sch,unknown,formation,0.5094,binary_signature,T0003-LOOP-T0007-CCCV-T0003-CC_DCHG-T0003-LOOP-END,wip,auto,
PNE02,00223213_221116 [╜┬▒µ] 3▒╪╝┐ ╗τ└╠┼¼.sch,unknown,unknown,0.4779,binary_signature,T0003-LOOP-T0007-CCCV-T0003-CC_DCHG-T0003-LOOP-T0007-CCCV-T0003-CC_DCHG-T0003-LOOP-END,,auto,
PNE02,00224728_260724_╛╚┴÷╚╞_Set01_CB4S-30um└ⁿ╗τ╕╖-SJ1300░╟╜─└╜▒╪.sch,unknown,unknown,0.0,none,T0003-LOOP-T0007-CCCV-T0003-CC_DCHG-T0003-LOOP-T0007-CCCV-T0003-CC_DCHG-T0003-LOOP-T0007-CCCV-LOOP-T0007-T0003-CC_DCHG-T0003-CC_DCHG-T0003-CCCV-T0003-LOOP-T0007-CC_DCHG-T0003-CC_DCHG-T0003-CCCV-T0003-LOOP-T0007-CC_DCHG-T0003-CC_DCHG-T0003-CC_DCHG-T0003-LOOP-T0007-CCCV-T0003-CC_DCHG-T0003-LOOP-END,,auto,
PNE02,00224728_260724_╛╚┴÷╚╞_Set01_CB4S-30um└ⁿ╗τ╕╖-SJ1300░╟╜─└╜▒╪_000.sch,unknown,unknown,0.0,none,T0003-LOOP-T0007-CCCV-T0003-CC_DCHG-T0003-LOOP-T0007-CCCV-T0003-CC_DCHG-T0003-LOOP-T0007-CCCV-LOOP-T0007-T0003-CC_DCHG-T0003-CC_DCHG-T0003-CCCV-T0003-LOOP-T0007-CC_DCHG-T0003-CC_DCHG-T0003-CCCV-T0003-LOOP-T0007-CC_DCHG-T0003-CC_DCHG-T0003-CC_DCHG-T0003-LOOP-T0007-CCCV-T0003-CC_DCHG-T0003-LOOP-END,,auto,
